Category1,Category2,KNOW직업명
조직·경영형,경영·행정·사무직,속기사
조직·경영형,경영·행정·사무직,행정사
조직·경영형,경영·행정·사무직,취업알선원
사람·서비스형,음식 서비스직,한식조리사
사람·서비스형,음식 서비스직,중식조리사
사람·서비스형,음식 서비스직,양식조리사
사람·서비스형,음식 서비스직,일식조리사
사람·서비스형,음식 서비스직,바텐터
사람·서비스형,음식 서비스직,음료조리사
사람·서비스형,음식 서비스직,패스트푸드준비원
사람·서비스형,음식 서비스직,홀서빙원
사람·서비스형,음식 서비스직,주방보조원
사람·서비스형,음식 서비스직,음식배달원
사람·서비스형,경호·경비직,경호원
사람·서비스형,경호·경비직,청원경찰
사람·서비스형,경호·경비직,시설·특수경비원
사람·서비스형,경호·경비직,경비원
사람·서비스형,돌봄 서비스직(간병·육아),요양간호사 및 간병인
사람·서비스형,돌봄 서비스직(간병·육아),육아도우미
사람·서비스형,청소 및 기타 개인서비스직,청소원
사람·서비스형,청소 및 기타 개인서비스직,환경미화원 및 재활용품수거원
사람·서비스형,청소 및 기타 개인서비스직,방역원
사람·서비스형,청소 및 기타 개인서비스직,세탁원(다림질원)
사람·서비스형,청소 및 기타 개인서비스직,가사도우미
사람·서비스형,청소 및 기타 개인서비스직,계기검침원 및 가스점검원
사람·서비스형,청소 및 기타 개인서비스직,주차관리·안내원
사람·서비스형,청소 및 기타 개인서비스직,검표원
조직·경영형,영업·판매직,부동산중개인
조직·경영형,영업·판매직,기술영업원
조직·경영형,영업·판매직,해외영업원
조직·경영형,영업·판매직,자동차영업원
조직·경영형,영업·판매직,제품광고영업원
조직·경영형,영업·판매직,상품중개인 및 경매사
조직·경영형,영업·판매직,텔레마케터
조직·경영형,영업·판매직,소규모판매점장
조직·경영형,영업·판매직,상점판매원
조직·경영형,영업·판매직,통신기기·서비스판매원
조직·경영형,영업·판매직,온라인판매원
조직·경영형,영업·판매직,상품대여원
조직·경영형,영업·판매직,노점 및 이동판매원
조직·경영형,영업·판매직,방문판매원
조직·경영형,영업·판매직,주유원
조직·경영형,영업·판매직,계산원 
조직·경영형,영업·판매직,매표원 및 복권판매원
조직·경영형,영업·판매직,홍보도우미 및 판촉원
기술·현장형,운전·운송직,항공기조종사
기술·현장형,운전·운송직,헬리콥터조종사
기술·현장형,운전·운송직,선장 및 항해사
기술·현장형,운전·운송직,선박기관사
기술·현장형,운전·운송직,철도·전동차기관사
기술·현장형,운전·운송직,항공교통관제사
기술·현장형,운전·운송직,선박교통관제사
기술·현장형,운전·운송직,철도교통관제사
기술·현장형,운전·운송직,신호원 및 수송원
기술·현장형,운전·운송직,택시운전원
기술·현장형,운전·운송직,버스운전원
기술·현장형,운전·운송직,화물차·특수차운전원
기술·현장형,운전·운송직,크레인·호이스트운전원
기술·현장형,운전·운송직,지게차운전원
기술·현장형,운전·운송직,택배원
기술·현장형,운전·운송직,우편물집배원
기술·현장형,운전·운송직,선박갑판원
기술·현장형,운전·운송직,하역·적재종사원
기술·현장형,건설·채굴직,강구조물가공원 및 건립원
기술·현장형,건설·채굴직,경량철골공
기술·현장형,건설·채굴직,철근공
기술·현장형,건설·채굴직,콘크리트공
기술·현장형,건설·채굴직,건축석공
기술·현장형,건설·채굴직,건축목공
기술·현장형,건설·채굴직,전통건축기능원
기술·현장형,건설·채굴직,조적원
기술·현장형,건설·채굴직,미장공
기술·현장형,건설·채굴직,방수공
기술·현장형,건설·채굴직,단열공
기술·현장형,건설·채굴직,타일·대리석시공원
기술·현장형,건설·채굴직,도배공
기술·현장형,건설·채굴직,유리부착원
기술·현장형,건설·채굴직,건물도장공
기술·현장형,건설·채굴직,섀시조립·설치원
